number,code,,ssdate,sssrhsl(%),fxj(y),ssdate1,bkzf,dyrzf,derzf,dsrzf,y
1,688001,2019/7/31,20190722,80.03,24.26,2019/7/22,-1.32%,128.77,-0.12,0.06,54.72
2,688002,2019/7/31,20190722,80.48,20,2019/7/22,3.92%,151,-0.13,0.06,49.93
3,688003,2019/7/31,20190722,74.03,25.5,2019/7/22,-0.62%,85.88,-0.15,0.08,48.44
4,688004,2020/6/30,20200612,72.07,28.77,2020/6/12,9.53%,340.74,0.03,-0.11,129.66
5,688005,2019/7/31,20190722,79.44,26.62,2019/7/22,-2.28%,86.06,-0.16,0.06,49.26
6,688006,2019/7/31,20190722,79.48,27.43,2019/7/22,-2.28%,99.13,-0.14,0.07,53.99
7,688007,2019/7/31,20190722,78.86,17.5,2019/7/22,5.20%,121.94,-0.11,0.16,41.87
8,688008,2019/7/31,20190722,78.42,24.8,2019/7/22,5.75%,202.1,-0.01,0.02,77.01
9,688009,2019/7/31,20190722,77.98,5.85,2019/7/22,-1.92%,109.74,-0.06,0.03,9.54
10,688010,2019/7/31,20190722,74.4,25.22,2019/7/22,3.66%,92.98,0.12,0.49,80.45
11,688011,2019/7/31,20190722,76.41,38.09,2019/7/22,3.92%,84.22,-0.14,0.09,69.72
12,688012,2019/7/31,20190722,75.41,29.01,2019/7/22,5.75%,179.32,0.03,0.02,87.11
13,688013,2020/9/30,20200928,83.28,18.62,2020/9/28,-5.81%,118.64,-0.11,-0.06,40.02
14,688015,2019/7/31,20190722,75.93,16.18,2019/7/22,-1.92%,134.24,0.08,0.02,51.65
15,688016,2019/7/31,20190722,84.51,46.23,2019/7/22,0.11%,242.42,-0.07,0.05,156.58
16,688017,2020/8/31,20200828,69.35,35.06,2020/8/28,5.15%,68.08,-0.07,0.1,55.19
17,688018,2019/7/31,20190722,76.65,62.6,2019/7/22,5.75%,106.25,0.14,0.1,158.14
18,688019,2019/7/31,20190722,86.19,39.19,2019/7/22,12.03%,400.15,-0.09,0.02,142.9
20,688021,2019/11/30,20191106,75.24,26.17,2019/11/6,0.14%,26.9,0.19,-0.13,38.7
21,688022,2019/7/31,20190722,72.39,25.79,2019/7/22,-1.32%,94.61,0.09,-0.06,66.24
22,688023,2019/11/30,20191105,81.73,56.5,2019/11/5,-3.40%,39.93,0.12,0.29,120.14
23,688025,2019/10/31,20191031,68.85,43.86,2019/10/31,-4.41%,33.74,-0.16,0,57.77
24,688026,2020/1/31,20200122,70.4,16.49,2020/1/22,10.20%,223.59,0.1,1.09,40.97
25,688027,2020/7/31,20200709,81.56,36.18,2020/7/9,6.01%,923.91,-0.09,0.03,434.74
26,688028,2019/7/31,20190722,75.49,26.68,2019/7/22,-0.52%,109.9,0.05,0,88.21
27,688029,2019/7/31,20190722,65.68,52.45,2019/7/22,0.11%,110.7,0.12,0.04,91.85
28,688030,2019/9/30,20190930,64.4,21.06,2019/9/30,5.06%,112.73,0.09,-0.1,44.31
29,688031,2022/10/31,20221018,73,47.34,2022/10/18,21.46%,60.54,-0.04,-0.07,76
30,688032,2021/12/31,20211220,69.38,557.8,2021/12/20,-6.03%,29.98,-0.02,0.05,530.51
31,688033,2019/7/31,20190722,77.7,20.37,2019/7/22,-1.92%,96.76,0.12,-0.07,46.07
32,688035,2022/9/30,20220919,79.4,46.12,2022/9/19,-7.45%,64.46,0.05,-0.16,79.69
33,688036,2019/9/30,20190930,67.95,35.15,2019/9/30,5.30%,64.44,-0.13,-0.04,55.89
34,688037,2019/12/31,20191216,84.33,26.97,2019/12/16,13.40%,139.15,-0.09,0.24,75.15
35,688038,2021/7/31,20210713,84.74,8.6,2021/7/13,-4.32%,263.02,0.01,-0.14,31.27
36,688039,2019/12/31,20191211,85.72,50.48,2019/12/11,9.54%,54.08,-0.03,-0.05,80.24
37,688041,2022/8/31,20220812,59.68,36,2022/8/12,-3.10%,66.94,-0.05,0.07,60.69
38,688045,2022/5/31,20220526,71.9,55.15,2022/5/26,11.84%,13.51,-0.11,-0.01,68.05
39,688046,2022/4/30,20220425,50.3,22.53,2022/4/25,-18.33%,-17.89,-0.1,0.03,18.65
40,688047,2022/6/30,20220624,77.56,60.06,2022/6/24,12.19%,48.3,0.13,0.03,103.53
41,688048,2022/4/30,20220401,58.5,80.8,2022/4/1,-17.40%,-1.49,-0.07,-0.06,79.24
42,688049,2021/11/30,20211129,79.66,42.98,2021/11/29,20.50%,93.11,-0.03,-0.12,83
43,688050,2020/7/31,20200729,78.23,33.55,2020/7/29,16.19%,616.84,0,0.03,292.41
44,688051,2020/3/31,20200320,66.56,50.81,2020/3/20,-12.05%,130.29,-0.08,0.03,115.49
45,688052,2022/4/30,20220422,58.37,230,2022/4/22,-17.40%,12.86,-0.09,-0.01,263.39
46,688053,2022/7/31,20220708,55.88,55.53,2022/7/8,4.56%,-3.12,-0.07,0.09,57.92
47,688055,2020/8/31,20200817,80.03,1.22,2020/8/17,4.24%,707.38,0.35,0.02,13.44
48,688056,2020/9/30,20200902,73.79,24.8,2020/9/2,-9.75%,91.13,-0.06,-0.05,46.71
49,688057,2020/11/30,20201111,64.93,25.84,2020/11/11,-0.46%,70.12,-0.12,0.07,40.07
50,688058,2019/11/30,20191101,74.69,79.3,2019/11/1,-3.40%,26.36,-0.06,-0.04,69.37
51,688059,2021/2/28,20210208,86.59,37.09,2021/2/8,2.68%,132.41,-0.05,-0.22,84.66
52,688060,2020/7/31,20200710,74.76,44.47,2020/7/10,10.34%,468.05,-0.09,0.06,249.62
53,688061,2022/10/31,20221018,47.49,112.69,2022/10/18,6.74%,-16.65,0,0.03,96.8
54,688062,2022/1/31,20220118,53.61,34.8,2022/1/18,-11.99%,-29.6,0.3,-0.14,31.9
55,688063,2020/12/31,20201230,75.95,56,2020/12/30,2.38%,320.16,0.1,0.16,299.89
56,688065,2020/8/31,20200812,58.27,133.45,2020/8/12,6.66%,17.65,-0.12,0.01,110.62
57,688066,2019/7/31,20190722,76.53,17.25,2019/7/22,3.92%,175.94,0.04,0.04,64.74
58,688067,2021/6/30,20210616,71.12,14.71,2021/6/16,-1.05%,160.37,-0.18,-0.02,37.72
59,688068,2019/9/30,20190930,74.3,29.46,2019/9/30,2.52%,140.63,-0.04,-0.03,44.58
60,688069,2020/7/31,20200722,68.7,67.2,2020/7/22,9.95%,51.34,-0.05,0.02,70.3
61,688070,2021/2/28,20210210,82.84,23.16,2021/2/10,-1.50%,137.52,-0.09,0.01,54.66
62,688071,2021/7/31,20210729,86.37,13.73,2021/7/29,4.05%,213.18,-0.09,-0.03,43
63,688072,2022/4/30,20220420,78.57,71.88,2022/4/20,-17.40%,28.41,0.1,-0.03,101.59
64,688073,2022/10/31,20221011,41.06,88,2022/10/11,4.03%,-23.4,0.06,0.09,81.79
65,688075,2021/11/30,20211118,67.15,78.28,2021/11/18,15.02%,13.44,-0.07,0,72.32
66,688076,2021/5/31,20210520,72.03,15.57,2021/5/20,11.50%,397.75,0.01,0,78.29
67,688077,2020/7/31,20200722,74.46,28.07,2020/7/22,12.57%,117.35,0.39,-0.16,83.05
68,688078,2019/12/31,20191230,77.36,21.59,2019/12/30,9.54%,126.49,0.04,-0.03,50.07
69,688079,2021/3/31,20210302,76.37,10.19,2021/3/2,0.65%,154.66,-0.15,-0.08,25.63
